股票代码,交易日期,开盘价,最高价,最低价,收盘价,昨收价,涨跌额,涨跌幅（%）,成交量（手）,成交额（万元）
000858.SZ,1998/4/27,29.77,57,29.77,53.57,14.77,38.8,262.69,341630,184620.4544
000858.SZ,1998/4/28,54,56.5,53.6,54.19,53.57,0.62,1.16,67658,37157.184
000858.SZ,1998/4/29,54.97,54.98,52.9,53.3,54.19,-0.89,-1.64,33932,18192.752
000858.SZ,1998/4/30,53.3,54.2,53.2,53.65,53.3,0.35,0.66,23856,12794.2176
000858.SZ,1998/5/4,55.1,59.02,55,59.02,53.65,5.37,10.01,49209,28531.2928
000858.SZ,1998/5/5,62.88,64.9,61.61,62.66,59.02,3.64,6.17,84095,53213.056
000858.SZ,1998/5/6,62.2,66,61.8,65.73,62.66,3.07,4.9,44366,28314.768
000858.SZ,1998/5/7,67,69.8,66,66.45,65.73,0.72,1.1,60016,40549.6128
000858.SZ,1998/5/8,66.45,68.18,66,67.02,66.45,0.57,0.86,35393,23716.64
000858.SZ,1998/5/11,66.6,67.18,63.8,64.04,67.02,-2.98,-4.45,32802,21280.248
000858.SZ,1998/5/12,63.3,63.8,62.22,63.43,64.04,-0.61,-0.95,19151,12068.5592
000858.SZ,1998/5/13,63.2,65.75,63.01,63.85,63.43,0.42,0.66,13930,8946.9272
000858.SZ,1998/5/14,63.85,64.45,62.85,63.03,63.85,-0.82,-1.28,11501,7269.4744
000858.SZ,1998/5/15,63.4,65.2,63.1,63.93,63.03,0.9,1.43,10440,6686.9012
000858.SZ,1998/5/18,65,65,62.52,63.1,63.93,-0.83,-1.3,7357,4657.762
000858.SZ,1998/5/19,62.5,64,61.5,62.33,63.1,-0.77,-1.22,10973,6815.3736
000858.SZ,1998/5/20,62,62.3,60.85,60.89,62.33,-1.44,-2.31,9217,5658.04
000858.SZ,,,,,,,--,,,
000858.SZ,1998/5/22,62.1,63,61.6,62.49,62.01,0.48,0.77,8264,5139.6796
000858.SZ,1998/5/25,62.48,62.49,60.86,60.93,62.49,-1.56,-2.5,6873,4210.2712
000858.SZ,1998/5/26,60.88,61.99,60.38,60.74,60.93,-0.19,-0.31,6630,4031.5839
000858.SZ,1998/5/27,61,61,59.53,59.68,60.74,-1.06,-1.75,10560,6346.8756
000858.SZ,1998/5/28,59.1,61.48,59,60.04,59.68,0.36,0.6,12403,7445.9392
000858.SZ,1998/5/29,60.03,60.9,59.8,60,60.04,-0.04,-0.07,5368,3233.0498
000858.SZ,1998/6/1,60,60,57.88,58.97,60,-1.03,-1.72,12907,7583.1728
